"社區ID","社區名稱","縣市","鄉鎮市區","完整地址","緯度","經度","社區簡介","計畫成果重點","社區照片網址","照片替代文字","YouTube影片網址","是否發布","顯示順序"
"C001","社團法人台北市文山區明興社區發展協會","臺北市","文山區","臺北市文山區木柵路2段109巷34號2樓","24.990127","121.562853","明興社區以青銀共學為核心，邀請長者將運動、飲食文化與藝術專長帶入兒少課程，讓生活經驗成為跨世代交流的橋樑。同時培訓志工運用數位地圖調查社區生活點位，逐步累積在地資料，為智慧共生與居民互助打下基礎。","聘請社區長者擔任兒少據點課程講師，完成 5 場跨世代共融課程；辦理 GIS 圖資培力，培訓志工以 Google Earth、My Maps 調查社區生活點位，建立 62 份資料庫；與社會局人民團體科及南區社區培力團隊協作，並赴南港久如社區跨區交流。","","","","是","1"
"C002","新北市永和區民權社區發展協會","新北市","永和區","新北市永和區民族里民權路60號4樓","24.998018","121.519921","民權社區結合藝術活動、退休生活講座與心理支持培訓，陪伴長者持續學習、拓展生活連結。透過急救、防跌智慧通報與無人機足球等課程，串聯青年志工、學校及企業資源，讓銀髮族從接受照顧走向主動參與，實踐青銀共融。","社區關懷演唱會受益 250 人，「優雅的退休生活」講座逾百位長者參與；「孤獨處方箋」種子講師培訓 115 人次，AED 急救課程 32 位長者完訓；與臺大公衛系合作「防跌智慧通報」，並設置巷弄長照站提供血壓計、體脂計；無人機足球種子教練培訓吸引全臺 18 縣市 34 位夥伴。","","","","是","2"
"C003","臺北市北投區幸福永和社區發展協會","臺北市","北投區","臺北市北投區永和里行義路63號","25.126214","121.52795","幸福永和社區從弱勢關懷走向全齡共好，透過社區園圃、農務與手作，讓身心障礙者、長者及志工共同參與。結合愛心商品、團購與LINE服務，促進居民互助及資源循環，並持續規劃數位培力與外展教學，將支持帶進日常生活。","社區園圃結合堆肥與酵素製作，讓身心障礙者與志工共同參與農務；以數位平台販售弱勢家庭製作的茶葉蛋、饅頭等「愛心傘」商品，並以「愛心GO」團購串聯居民；LINE 官方帳號「六GO服務系統」上線；開辦共生人才培育課程，同步建置社區資料庫。","","","","是","3"
"C004","臺北市南港區久如社區發展協會","臺北市","南港區","臺北市南港區研究院路2段208號1樓","25.036668","121.617105","久如社區從在地互助出發，以長者問安、新手父母支持、共餐及物品分享，串聯不同世代的生活需求。鼓勵受關懷長者成為志工，也邀請青年投入服務，讓照顧不只是單向提供，而是居民共同參與、彼此支持的日常實踐。","「老寶貝問安」讓受關懷長輩轉任志工，主動至公園關懷其他長者；「新手爸爸媽媽支持團體」由資深團員傳承育兒經驗；建置物品分享、循環利用與共餐機制，並與里長合辦物資交換及跳蚤市場；培訓青年與青壯族群擔任志工，與南港老服中心合作提供專業支持。","","","","是","4"
"C005","新北市三峽區龍恩里辦公處龍恩關懷據點","新北市","三峽區","新北市三峽區龍學里學成路396號4樓","24.944196","121.377771","龍恩關懷據點以時間銀行與AI共學探索居民互助，規劃將課程參與及志工服務轉化為可交換的時間資源。透過生活導向的數位課程與志工培力，鼓勵長者分享所學、擔任教學者，逐步將據點發展為跨世代參與的共學空間。","規劃時間銀行系統，課程參與及志工服務可累積時間幣，兌換在地商家商品或學習資源；以 LINE OA 開發客製化時間銀行 APP，降低操作門檻；培訓「AI 志工小隊」，長者以教學者角色錄製短影片；發展「以長者為本的教學手冊」，讓志工能獨立帶領 AI 課程。","","","","是","5"
"C006","宜蘭縣冬山鄉香和社區發展協會","宜蘭縣","冬山鄉","宜蘭縣冬山鄉香和村香南路33號","24.628801","121.797626","香和社區以古法醬油釀造串起長者、學校師生與家庭，讓傳統技藝成為三代共學的起點。結合LINE聯繫、生活化數位課程與長者助教制度，培養彼此提醒、互相教學的關係，讓社區活動從高齡照顧延伸為各世代共同參與的生活。","辦理「拙荢醬油三代共學活動」，串聯長者、華德福學校師生與家庭延續古法釀造技藝；建立 LINE 社區聯繫網絡，長者互相提醒用藥、製作早安貼圖；調整為志工與長者分班教學，培訓具數位素養的長者擔任助教，形成「長者教長者」互助模式。","","","","是","6"
"C007","桃園市平鎮區三安社區照顧關懷據點","桃園市","平鎮區","桃園市平鎮區華安里平東路246巷16弄2號","24.916228","121.248536","三安社區由居民、里長與廟宇夥伴共同發起，透過關懷據點、健康量測及共餐建立互助網絡。面對高齡化與青年參與不足，社區持續投入智慧共生培力與跨單位交流，探索從日常需求、健康活動和在地資源出發的居民參與方式。","辦理 12 小時智慧共生培力課程，涵蓋 22 處社區照顧關懷據點、31 位學員參與；由居民、里長與土地公廟主委共同發起，建立跨單位定期會議與交流平台；盤點在地商家資源建立生活服務地圖，並整合廟宇、教會空間擴大活動能量。","","","","是","7"
"C008","新竹市香山區海山社區發展協會","新竹市","香山區","新竹市香山區海山里大湖路61號","24.756476","120.910374","海山社區以關懷據點與巷弄長照服務為基礎，鼓勵長者擔任咖啡職人與手作講師，讓受照顧者也能分享專長。結合安全設備、LINE聯絡及青年志工、學校與商家資源，逐步建立兼顧健康、陪伴及跨世代互動的高齡友善網絡。","完成 60 份前後測問卷、感應燈安裝與行政文件，進度符合預期；規劃肌力訓練、瑜伽等常態運動課程，並以 LINE 緊急聯絡系統提升安全照護；以「角色翻轉」培育長者擔任咖啡職人與手作講師；引入青年志工、學校及在地商家資源擴大服務覆蓋率。","","","","是","8"
"C009","新竹縣新埔鎮新北社區發展協會","新竹縣","新埔鎮","新竹縣新埔鎮新北里6鄰45-3號","24.847415","121.145034","新北社區從山區長者的共餐與陪伴需求出發，結合農產加工、手作及數位學習，拓展居民參與。由青年與志工協助科技操作，並盤點陪伴、接送、農務等技能與需求，讓線上聯繫搭配實體支持，形成產業、照顧與互助相連的共生模式。","以蘿蔔、福菜、桶柑、茶葉等農產加工與手作課程建立參與機制，規劃鄰里分區生產、集中加工，並以聚餐回饋吸引 80 歲以上長者免費參與；辦理智慧運動課程與「感恩花園 APP」推廣，以掃碼入群降低數位門檻；建立「數位＋實體」雙軌模式，由志工擔任轉接角色；盤點居民陪伴、接送、農務等技能與需求進行供需媒合。","","","","是","9"
"C010","新竹市北區海濱社區發展協會","新竹市","北區","新竹市北區海濱里聖軍路26號","24.833253","120.926677","海濱社區以青銀共學結合數位科技與地方文化，讓長者與青年透過AI影像、懷舊歌曲及生命故事交流。串聯大學、身心障礙服務機構與志工，推動智慧導覽及居民培力，讓日常聚會成為彼此學習、分享經驗與共同參與的起點。","率先辦理 3 場青銀共學活動，導入 AI 對話、AI 生成圖片與懷舊歌曲，引導長者分享生命故事；與玄奘大學、清華大學、智樂活合作，串聯大專青年與身心障礙服務機構；建置智慧導覽並培育居民擔任導覽協力人員，發展社區特色導覽與地方故事，朝成立社區小舖推進。","","","","是","10"
"C011","苗栗縣頭屋鄉明德社區發展協會","苗栗縣","頭屋鄉","苗栗縣頭屋鄉明德村6鄰81號","24.585868","120.886073","明德社區以既有照顧據點與銀髮健身服務回應高齡生活需求，發展數位導師、物流協助員及關懷志工的分工。透過線上訂購搭配志工配送、健康關懷及居民交流，連結科技與人情支持，逐步探索可持續運作的在地互助生活系統。","建立數位導師、物流協助員、關懷志工三類角色分工，發展「線上訂購＋線下志工配送」服務模式；連結頭屋鄉公所每年編列的社區發展補助，辦理公益活動與設備增置；以工作坊、座談會及觀摩交流凝聚居民共識；規劃將經驗擴散至頭屋鄉其他社區，形成互助網絡。","","","","是","11"
