"社區ID","社區名稱","縣市","鄉鎮市區","完整地址","緯度","經度","社區簡介","計畫成果重點","社區照片網址","照片替代文字","YouTube影片網址","是否發布","顯示順序"
"C001","社團法人台北市文山區明興社區發展協會","臺北市","文山區","臺北市文山區木柵路2段109巷34號2樓","24.990127","121.562853","明興社區以青銀共學為核心，邀請長者將運動、飲食文化與藝術專長帶入兒少課程，讓生活經驗成為跨世代交流的橋樑。同時培訓志工運用數位地圖調查社區生活點位，逐步累積在地資料，為智慧共生與居民互助打下基礎。","聘請社區長者擔任兒少據點課程講師，完成 5 場跨世代共融課程；辦理 GIS 圖資培力，培訓志工以 Google Earth、My Maps 調查社區生活點位，建立 62 份資料庫；與社會局人民團體科及南區社區培力團隊協作，並赴南港久如社區跨區交流。","","","","是","1"
"C002","新北市永和區民權社區發展協會","新北市","永和區","新北市永和區民族里民權路60號4樓","24.998018","121.519921","民權社區結合藝術活動、退休生活講座與心理支持培訓，陪伴長者持續學習、拓展生活連結。透過急救、防跌智慧通報與無人機足球等課程，串聯青年志工、學校及企業資源，讓銀髮族從接受照顧走向主動參與，實踐青銀共融。","社區關懷演唱會受益 250 人，「優雅的退休生活」講座逾百位長者參與；「孤獨處方箋」種子講師培訓 115 人次，AED 急救課程 32 位長者完訓；與臺大公衛系合作「防跌智慧通報」，並設置巷弄長照站提供血壓計、體脂計；無人機足球種子教練培訓吸引全臺 18 縣市 34 位夥伴。","","","","是","2"
"C003","臺北市北投區幸福永和社區發展協會","臺北市","北投區","臺北市北投區永和里行義路63號","25.126214","121.52795","幸福永和社區從弱勢關懷走向全齡共好，透過社區園圃、農務與手作，讓身心障礙者、長者及志工共同參與。結合愛心商品、團購與LINE服務，促進居民互助及資源循環，並持續規劃數位培力與外展教學，將支持帶進日常生活。","社區園圃結合堆肥與酵素製作，讓身心障礙者與志工共同參與農務；以數位平台販售弱勢家庭製作的茶葉蛋、饅頭等「愛心傘」商品，並以「愛心GO」團購串聯居民；LINE 官方帳號「六GO服務系統」上線；開辦共生人才培育課程，同步建置社區資料庫。","","","","是","3"
"C004","臺北市南港區久如社區發展協會","臺北市","南港區","臺北市南港區研究院路2段208號1樓","25.036668","121.617105","久如社區從邊陲地區的自助互助傳統出發，發展涵蓋長者、家庭與不同世代的共生服務。居民透過問安、育兒支持、共餐及物品分享彼此照應，並逐步培育青年與青壯志工，讓照顧成為社區共同參與的日常。","「老寶貝問安」鼓勵受關懷長輩成為志工，主動關心其他長者；新手爸爸媽媽支持團體由資深團員傳承育兒經驗；建置物品分享、循環利用、共餐及跳蚤市場等共好機制；培訓青年與青壯族群擔任志工，並與南港老服中心合作提供專業支持","","","","是","4"
"C005","新北市三峽區龍恩里辦公處龍恩關懷據點","新北市","三峽區","新北市三峽區龍學里學成路396號4樓","24.944196","121.377771","龍恩關懷據點以貼近生活的 AI 與手機課程陪伴長者跨越數位落差，並培訓學員成為助教。社區進一步發展共生銀行、在地商家合作及無人機足球，讓科技學習轉化為居民互助、跨世代共學與社區參與。","銀髮資訊賦能課程已服務至少 500 位長者，並培訓長者協助教學；規劃龍恩共生銀行 APP，以課程與服務累積共生幣並串聯在地商家；透過大小工作坊引導居民理解共生與服務價值；以無人機足球吸引男性長者、兒少及青年共同學習，擴大跨世代參與","./assets/community/C005.webp","龍恩關懷據點長者與志工完成無人機足球共學活動後合影","","是","5"
"C006","宜蘭縣冬山鄉香和社區發展協會","宜蘭縣","冬山鄉","宜蘭縣冬山鄉香和村香南路33號","24.628801","121.797626","香和社區以古法醬油、酵素製作與數位培力串聯長者、兒少及家庭，讓傳統技藝成為跨世代交流的媒介。透過 LINE 聯繫網絡及陪伴式教學，長者不只學會數位工具，也逐步成為同儕助教與社區內容的共同創作者。","辦理拙荊醬油三代共學，由長者帶領幼兒、家庭與志工傳承釀造技藝；建立 LINE 社區聯繫網絡，降低居民取得資訊與互動的門檻；由壯年志工協助長者學習外送點餐、貼圖與海報製作；培訓具數位能力的長者擔任助教，形成長者教長者的互助模式","./assets/community/C006.webp","香和社區長者與兒少一起參與跨世代手作活動","","是","6"
"C007","桃園市平鎮區三安社區照顧關懷據點","桃園市","平鎮區","桃園市平鎮區華安里平東路246巷16弄2號","24.916228","121.248536","三安社區從家庭節能健診與自主健康管理切入，吸引具行動力的新長者走進關懷據點。社區培育居民成為召集人，並盤點在地商家與生活資源，讓據點逐步轉型為建立關係、串聯需求與促成互助的平台。","以家庭節能健診協助居民了解用電、插座安全與居家健康環境；運用人體組成量測、步行及飲食紀錄 APP 培養自主健康管理；培育新長者擔任召集人，帶動夥伴參與並陪伴居民使用數位工具；盤點在地商家與生活服務，建立居民、召集人及商家的互助網絡","./assets/community/C007.webp","三安社區志工陪伴居民進行健康量測與紀錄","","是","7"
"C008","新竹市香山區海山社區發展協會","新竹市","香山區","新竹市香山區海山里大湖路61號","24.756476","120.910374","海山社區以角色翻轉為特色，鼓勵長者成為咖啡職人與手作講師，再結合科技、安全設備及在地資源，回應高齡與弱勢居民的生活需求。社區也引入青年與學校力量，持續擴大跨世代參與及生活支持網絡。","完成 60 份前後測問卷，依調查結果調整共生服務；完成感應燈安裝並建立 LINE 緊急聯絡系統，強化居家安全；規劃肌力訓練與瑜伽等常態健康課程；串聯青年志工、學校與商家資源，並讓長者擔任手作講師，從接受服務轉為社區貢獻者","./assets/community/C008.webp","海山社區長者與青年一起進行跨世代手作活動","","是","8"
"C009","新竹縣新埔鎮新北社區發展協會","新竹縣","新埔鎮","新竹縣新埔鎮新北里6鄰45-3號","24.847415","121.145034","新北社區從山區長者的共餐與陪伴需求出發，結合農產加工、手作及數位學習，拓展居民參與。由青年與志工協助科技操作，並盤點陪伴、接送、農務等技能與需求，讓線上聯繫搭配實體支持，形成產業、照顧與互助相連的共生模式。","以蘿蔔、福菜、桶柑、茶葉等農產加工與手作課程建立參與機制，規劃鄰里分區生產、集中加工，並以聚餐回饋吸引 80 歲以上長者免費參與；辦理智慧運動課程與「感恩花園 APP」推廣，以掃碼入群降低數位門檻；建立「數位＋實體」雙軌模式，由志工擔任轉接角色；盤點居民陪伴、接送、農務等技能與需求進行供需媒合。","","","","是","9"
"C010","新竹市北區海濱社區發展協會","新竹市","北區","新竹市北區海濱里聖軍路26號","24.833253","120.926677","海濱社區以青銀共學為核心，運用 AI 對話、數位創作及地方導覽，引導長者與青年分享記憶、共同學習。社區並串聯大學、身心障礙服務機構與志工，逐步建立跨群體支持網絡及在地故事的轉化機制。","先行辦理 3 場青銀共學活動，依參與回饋調整後續課程；以 AI 對話、生成圖片及懷舊歌曲促進長者生命經驗分享；與玄奘大學、清華大學及智樂活等單位建立跨域合作；培育居民擔任智慧導覽協力人員，發展社區特色導覽並規劃將共創成果帶入社區小舖","./assets/community/C010.webp","海濱社區青年陪伴長者使用平板進行 AI 對話共學","","是","10"
"C011","苗栗縣頭屋鄉明德社區發展協會","苗栗縣","頭屋鄉","苗栗縣頭屋鄉明德村6鄰81號","24.585868","120.886073","明德社區面對超高齡化、數位落差與志工不足，建立數位導師、物流協助員及關懷志工的分工模式。社區以線上訂購與線下配送結合生活照顧，並朝串聯頭屋鄉各社區的在地生活系統發展。","65 歲以上人口占 42.4%，以數位工具與人力分工回應高齡生活需求；由數位導師陪伴科技學習、物流協助員配送物資與藥品、關懷志工提供健康陪伴；發展線上訂購加線下志工配送的服務模式；透過工作坊、座談與觀摩凝聚居民共識，並規劃把經驗擴散至頭屋鄉其他社區","./assets/community/C011.webp","明德社區志工陪伴長者操作平板學習智慧共生服務","","是","11"
